,미국 USD,일본 JPY,유럽연합 EUR,중국 CNY
2020-11-20,"1,117.00","1,075.85","1,324.76",170.11
2020-11-19,"1,117.00","1,072.75","1,321.13",169.68
2020-11-18,"1,103.50","1,062.74","1,310.74",168.60
2020-11-17,"1,106.00","1,060.15","1,313.15",168.85
2020-11-16,"1,108.50","1,058.99","1,312.52",168.44
2020-11-13,"1,113.50","1,059.92","1,316.44",168.42
2020-11-12,"1,113.50","1,057.05","1,315.43",168.25
2020-11-11,"1,113.00","1,055.33","1,311.45",168.20
2020-11-10,"1,117.00","1,059.07","1,316.22",169.08
2020-11-09,"1,115.00","1,075.48","1,324.51",169.99
2020-11-06,"1,121.50","1,086.57","1,331.67",169.84
2020-11-05,"1,126.50","1,082.60","1,330.62",170.52
2020-11-04,"1,140.00","1,089.97","1,333.17",170.31
2020-11-03,"1,133.00","1,082.40","1,325.16",169.57
2020-11-02,"1,135.00","1,083.89","1,321.99",169.68
2020-10-30,"1,134.50","1,086.32","1,324.42",169.60
2020-10-29,"1,134.50","1,090.18","1,330.09",169.09
2020-10-28,"1,133.50","1,087.66","1,330.73",168.78
2020-10-27,"1,126.50","1,076.24","1,331.07",168.01
2020-10-26,"1,130.00","1,077.58","1,335.89",168.80
2020-10-23,"1,128.50","1,077.89","1,336.76",169.63
2020-10-22,"1,135.00","1,084.10","1,342.93",170.15
2020-10-21,"1,133.50","1,080.91","1,343.93",170.75
2020-10-20,"1,139.00","1,078.65","1,345.22",170.67
2020-10-19,"1,140.00","1,081.80","1,340.24",170.81
2020-10-16,"1,146.00","1,088.47","1,342.77",171.15
2020-10-15,"1,147.50","1,090.42","1,344.64",170.65
2020-10-14,"1,146.50","1,087.45","1,345.30",170.35
2020-10-13,"1,146.00","1,086.72","1,350.96",170.13
2020-10-12,"1,150.00","1,090.00","1,356.66",170.45
2020-10-08,"1,152.50","1,087.01","1,355.34",171.15
2020-10-07,"1,158.50","1,092.36","1,362.86",172.05
2020-10-06,"1,161.50","1,099.33","1,367.90",172.60
2020-10-05,"1,160.50","1,098.49","1,363.76",172.23
2020-09-29,"1,169.00","1,107.06","1,367.09",171.30
2020-09-28,"1,170.00","1,110.95","1,364.10",171.64
2020-09-25,"1,175.00","1,114.64","1,367.52",171.69
2020-09-24,"1,172.50","1,111.69","1,365.02",171.59
2020-09-23,"1,163.00","1,107.46","1,361.70",171.23
2020-09-22,"1,160.00","1,110.63","1,364.57",171.25
2020-09-21,"1,163.50","1,117.84","1,371.59",171.49
2020-09-18,"1,163.50","1,114.94","1,377.93",171.81
2020-09-17,"1,173.00","1,120.29","1,384.61",173.23
2020-09-16,"1,173.50","1,115.97","1,393.77",173.69
2020-09-15,"1,180.00","1,117.05","1,403.79",174.32
2020-09-14,"1,183.00","1,116.14","1,403.51",173.42
2020-09-11,"1,187.00","1,117.91","1,408.02",173.59
2020-09-10,"1,186.90","1,118.71","1,405.11",173.55
2020-09-09,"1,187.50","1,118.75","1,395.97",173.41
2020-09-08,"1,189.00","1,118.80","1,403.38",173.76
2020-09-07,"1,188.00","1,118.28","1,404.16",173.83
2020-09-04,"1,189.50","1,120.43","1,409.14",173.82
2020-09-03,"1,190.00","1,117.95","1,406.94",174.03
