,title,keyword
0,"정부, 2021년 경방 경기 조속한 반등·한국판 뉴딜 포함 내달 중순 발표",경방
1,"[시그널]한진 경영권 분쟁, 경방도 뛰어든다",경방
2,"""코로나 타격 회복""…주가 뛰는 경방·효성티앤씨",경방
3,[초점] 한진칼 주요주주 델타항공-KCGI '동병상련' 되나? ,경방
4,"경방, 한진 지분 또 늘렸다… 지분율 8.1%",경방
5,한진 주식 사들이는 '경방'…지분 확보 경쟁 불붙나,경방
6,"경방신약, 불가리존 '프로바이오틱' 독점 판매",경방
7,"한의약진흥원, 경방신약 한약제제 3종 러시아 수출",경방
8,"이어지는 한진 경영권 분쟁, 이번에는 경방 뛰어든 걸까",경방
9,경방신약 최고유산균 '프로바이오틱' 한국 독점판매권,경방
10,'현금부자' 경방의 재테크…한진 투자 직접→간접 선회,경방
11,"[시그널] 경방, ㈜한진 보유지분 PEF에 넘긴다",경방
12,[공진단]11월 10일 공시진단 리뷰...한진,경방
13,"경방, ㈜한진 2대 주주 등극… ""지분 9.33%까지 늘려""",경방
14,"[특징주]경방, 한진 지분 확대 소식에 급등",경방
15,"코람코, 신림동 포도몰 2500억원에 인수…""서남권 리테일 명소""",경방
16,"㈜한진 주식 또 사는 경방, KCGI 우군 가능성 낮다",경방
17,"[화제의 기업] 경방┃""101년 역사의 면방 종가 경방 베트남 시대 활짝""",경방
18,한진그룹 경영권 분쟁은 진행형…한진 2대 주주(지분율 9.3%) 경방이 ‘캐스팅...,경방
19,"[김대성의 종목분석] 한진의 4대주주에 오른 경방, 재무상태는?",경방
20,"경방, 한진 4대 주주로 떠올라…""단순투자"" 공시에도 해석 분분",경방
21,[시그널] 경방·신세계도 진출...기업發 PEF 전성시대,경방
22,경방의 ㈜한진 보유셈법…간접투자로 변경,경방
23,"경방, 한진 주식 96만주 처분",경방
24,김충환 경방신약 대표 동탑산업훈장 수훈,경방
25,"[더벨][한진그룹 경영권 분쟁]조용하던 ㈜한진, 또다시 분쟁 한가운데 '이번엔...",경방
26,[공시요정]한진은 한진칼과 다를까(feat. 경방),경방
27,"경방 자금력 충분, 한진 약한 지배구조 파고들어 경영권 확보 노리나",경방
28,경방 타임스퀘어 26일까지 ‘무인양품 특별 기획전’,경방
29,한진 4대주주 등극한 경방...취득 목적에 쏠리는 눈,경방
30,한진 4대주주 등극한 경방...취득 목적에 쏠리는 눈,경방
31,"'경방' 5% 이상 상승, 단기·중기 이평선 정배열로 상승세",경방
32,"경방, +9.23% VI 발동",경방
33,"[오전 거래 급증주 점검] 경방, 거래량↑… 그 외 종목은?",경방
34,"경방, 신생 PEF에 700억 투자",경방
35,"경방, +10.60% VI 발동",경방
36,"[더벨][한진그룹 경영권 분쟁]경방, ㈜한진 지분율 10%…KCGI 우군 감별 '팽팽...",경방
37,"'경방' 5% 이상 상승, 주가 반등 시도, 단기 이평선 역배열 구간",경방
38,경방 타임스퀘어-교보핫트랙스 ‘핫트 마켓’ 진행,경방
39,"'경방' 5% 이상 상승, 상승 추세 후 조정 중, 단기·중기 이평선 정배열",경방
40,"'경방' 5% 이상 상승, 주가 반등으로 5일 이평선 넘어섬, 단기 이평선 역배열...",경방
41,[더벨][한진그룹 경영권 분쟁]㈜한진 매집한 주체는...경방 오너 개인회사들,경방
42,"'경방' 52주 신고가 경신, 주가 상승 중, 단기간 골든크로스 형성",경방
43,"'경방' 10% 이상 상승, 주가 20일 이평선 상회, 단기·중기 이평선 역배열",경방
44,[단독] 빅5 면방 기업 중 올해 2분기 매출액 증가율 1위는 경방,경방
45,"경방, +7.67% VI 발동",경방
46,금산에 둥지 튼 경방신약㈜,경방
47,경방 생산중단,경방
48,"경방, +1.93% 52주 신고가",경방
49,"'경방' 5% 이상 상승, 주가 상승 중, 단기간 골든크로스 형성",경방
50,"[왕개미 연구소] 섬유회사가 택배업에 150억 베팅, 왜?",경방
51,"경방 ""자회사 경방베트남에 581억원 출자""",경방
52,사할린동포 생필품 기탁하는 ㈜경방,경방
53,"경방신약, 길병원서 의료진에 건강음료 전달식",경방
54,"'경방' 5% 이상 상승, 주가 반등으로 5일 이평선 넘어섬, 단기 이평선 역배열...",경방
55,"경방, +2.70% 상승폭 확대",경방
56,경방 주식회사 국동과 209억원 계약체결,경방
57,"경방, +29.93% 상한가",경방
58,"경방, +9.20% VI 발동",경방
59,장수 기원한 조선 왕들이 즐겨마신 '맥문동차'…폐·간·당뇨에도 효과,경방
60,"'경방' 52주 신고가 경신, 단기·중기 이평선 정배열로 상승세",경방
61,"'경방' 20% 이상 상승, 주가 상승 중, 단기간 골든크로스 형성",경방
62,"'경방' 상한가↑ 도달, 주가 상승 중, 단기간 골든크로스 형성",경방
63,"경방, +19.43% 52주 신고가",경방
64,"경방, 상반기 영업익 전년比 62% ‘뚝’...코로나19 직격탄",경방
65,금산인삼약초특화농공단지 경방신약 입주 예정...분양 '마무리',경방
66,"경방, +7.30% VI 발동",경방
