,date,close,open,high,low,volume,keyword
0,2015-11-04,31350.0,31250.0,31550.0,31050.0,207233.0,대한항공
1,2015-11-05,31050.0,31500.0,31500.0,30950.0,230378.0,대한항공
2,2015-11-06,31000.0,31300.0,31400.0,30850.0,192834.0,대한항공
3,2015-11-09,30350.0,30750.0,30850.0,30350.0,383542.0,대한항공
4,2015-11-10,29600.0,30000.0,30150.0,29500.0,453900.0,대한항공
5,2015-11-11,29150.0,29250.0,29700.0,29150.0,306104.0,대한항공
6,2015-11-12,28650.0,29200.0,29400.0,28450.0,555953.0,대한항공
7,2015-11-13,28500.0,28300.0,29500.0,28200.0,483761.0,대한항공
8,2015-11-16,27550.0,27900.0,27950.0,27250.0,570387.0,대한항공
9,2015-11-17,28650.0,27650.0,29050.0,27650.0,487701.0,대한항공
10,2015-11-18,28000.0,28550.0,29250.0,27850.0,389877.0,대한항공
11,2015-11-19,28250.0,28150.0,28600.0,28050.0,218778.0,대한항공
12,2015-11-20,28650.0,28550.0,29100.0,28500.0,342579.0,대한항공
13,2015-11-23,28350.0,28700.0,28800.0,28300.0,217912.0,대한항공
14,2015-11-24,28050.0,28550.0,28550.0,28000.0,247847.0,대한항공
15,2015-11-25,27850.0,28050.0,28250.0,27750.0,266515.0,대한항공
16,2015-11-26,27950.0,27900.0,28150.0,27850.0,261292.0,대한항공
17,2015-11-27,28150.0,28050.0,28850.0,28050.0,290984.0,대한항공
18,2015-11-30,28300.0,28200.0,28300.0,27650.0,362563.0,대한항공
19,2015-12-01,27950.0,28200.0,28350.0,27850.0,397379.0,대한항공
20,2015-12-02,27850.0,28000.0,28300.0,27800.0,327515.0,대한항공
21,2015-12-03,27850.0,28150.0,28150.0,27700.0,235578.0,대한항공
22,2015-12-04,27750.0,27750.0,27950.0,27600.0,227069.0,대한항공
23,2015-12-07,27550.0,27900.0,28100.0,27550.0,257428.0,대한항공
24,2015-12-08,27200.0,27800.0,27850.0,27200.0,321155.0,대한항공
25,2015-12-09,27200.0,27450.0,27500.0,27100.0,224083.0,대한항공
26,2015-12-10,28350.0,27200.0,28350.0,27200.0,645374.0,대한항공
27,2015-12-11,27950.0,28450.0,28450.0,27900.0,250743.0,대한항공
28,2015-12-14,27350.0,27950.0,27950.0,27250.0,222686.0,대한항공
29,2015-12-15,27200.0,27250.0,27500.0,27100.0,227406.0,대한항공
30,2015-12-16,27350.0,27550.0,27700.0,27350.0,184690.0,대한항공
31,2015-12-17,28300.0,27700.0,28450.0,27650.0,517850.0,대한항공
32,2015-12-18,28550.0,28600.0,29000.0,28400.0,452801.0,대한항공
33,2015-12-21,28250.0,28800.0,29050.0,28100.0,329184.0,대한항공
34,2015-12-22,28100.0,28300.0,28350.0,27800.0,237439.0,대한항공
35,2015-12-23,28150.0,28200.0,28350.0,27950.0,184209.0,대한항공
36,2015-12-24,28250.0,28200.0,28550.0,28050.0,223008.0,대한항공
37,2015-12-28,28050.0,28700.0,28700.0,28050.0,209512.0,대한항공
38,2015-12-29,27950.0,28250.0,28250.0,27800.0,165091.0,대한항공
39,2015-12-30,27700.0,28200.0,28200.0,27550.0,317166.0,대한항공
40,2016-01-04,27000.0,27800.0,27800.0,27000.0,303531.0,대한항공
41,2016-01-05,26550.0,26800.0,27350.0,26400.0,484290.0,대한항공
42,2016-01-06,26350.0,26700.0,26800.0,26250.0,383877.0,대한항공
43,2016-01-07,26250.0,26250.0,26600.0,26150.0,206265.0,대한항공
44,2016-01-08,25650.0,26000.0,26150.0,25300.0,599126.0,대한항공
45,2016-01-11,25950.0,25450.0,26250.0,25450.0,267792.0,대한항공
46,2016-01-12,25500.0,26200.0,26400.0,25450.0,240069.0,대한항공
47,2016-01-13,25900.0,25700.0,26200.0,25600.0,206992.0,대한항공
48,2016-01-14,25350.0,25500.0,25750.0,25000.0,391605.0,대한항공
49,2016-01-15,25000.0,25600.0,25650.0,25000.0,291430.0,대한항공
50,2016-01-18,24900.0,25000.0,25250.0,24850.0,255323.0,대한항공
51,2016-01-19,24150.0,24750.0,24900.0,24000.0,528855.0,대한항공
52,2016-01-20,23200.0,24000.0,24100.0,23150.0,584612.0,대한항공
53,2016-01-21,23200.0,23300.0,23900.0,22850.0,619296.0,대한항공
54,2016-01-22,23850.0,23400.0,24250.0,23350.0,383593.0,대한항공
55,2016-01-25,24300.0,24100.0,24450.0,23850.0,248439.0,대한항공
56,2016-01-26,24000.0,24000.0,24400.0,23750.0,199329.0,대한항공
57,2016-01-27,24250.0,24300.0,24700.0,24050.0,298975.0,대한항공
58,2016-01-28,24900.0,24250.0,24900.0,24100.0,265381.0,대한항공
59,2016-01-29,24750.0,25000.0,25000.0,24450.0,219467.0,대한항공
60,2016-02-01,25650.0,25500.0,25800.0,25200.0,467648.0,대한항공
61,2016-02-02,25750.0,25500.0,25850.0,25250.0,353392.0,대한항공
62,2016-02-03,25950.0,25650.0,26200.0,25350.0,435621.0,대한항공
63,2016-02-04,25950.0,25950.0,26200.0,25750.0,268055.0,대한항공
64,2016-02-05,25500.0,25700.0,25950.0,25450.0,245081.0,대한항공
65,2016-02-11,24700.0,24300.0,25100.0,24250.0,286589.0,대한항공
66,2016-02-12,24350.0,24600.0,24900.0,23900.0,339441.0,대한항공
67,2016-02-15,25300.0,24550.0,25300.0,24350.0,213133.0,대한항공
68,2016-02-16,25200.0,25300.0,25400.0,24800.0,177412.0,대한항공
69,2016-02-17,25300.0,25000.0,25900.0,25000.0,225118.0,대한항공
70,2016-02-18,25450.0,25750.0,25750.0,25400.0,169726.0,대한항공
71,2016-02-19,25600.0,25150.0,25600.0,25050.0,182344.0,대한항공
72,2016-02-22,26100.0,25350.0,26100.0,25300.0,252709.0,대한항공
73,2016-02-23,26650.0,26200.0,26950.0,26150.0,422016.0,대한항공
74,2016-02-24,26400.0,26750.0,26800.0,26200.0,205677.0,대한항공
75,2016-02-25,25750.0,26350.0,26500.0,25550.0,374435.0,대한항공
76,2016-02-26,25550.0,25800.0,25900.0,25500.0,196512.0,대한항공
77,2016-02-29,25700.0,25650.0,26200.0,25600.0,196640.0,대한항공
78,2016-03-02,26200.0,26200.0,26300.0,25900.0,211736.0,대한항공
79,2016-03-03,27450.0,26400.0,27450.0,26250.0,877323.0,대한항공
80,2016-03-04,28050.0,27850.0,28200.0,27500.0,836977.0,대한항공
81,2016-03-07,29300.0,28400.0,29400.0,28200.0,978932.0,대한항공
82,2016-03-08,29150.0,29400.0,29650.0,28600.0,560822.0,대한항공
83,2016-03-09,30200.0,29150.0,30200.0,29100.0,1144784.0,대한항공
84,2016-03-10,30600.0,30400.0,30600.0,29750.0,673459.0,대한항공
85,2016-03-11,30900.0,30450.0,31000.0,30350.0,739451.0,대한항공
86,2016-03-14,30250.0,31250.0,31300.0,29450.0,645817.0,대한항공
