,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,115448.0,117319.0,120922.0,130116.0,126834.0,77879.0,86281.0,106422.0,대한항공
1,영업이익,8831.0,11208.0,9398.0,6712.0,2575.0,1244.0,4014.0,6340.0,대한항공
2,영업이익(발표기준),8831.0,11208.0,9398.0,6712.0,2575.0,0.0,0.0,0.0,대한항공
3,당기순이익,-5630.0,-5568.0,8019.0,-1611.0,-6228.0,-5151.0,335.0,1387.0,대한항공
4,지배주주순이익,-5650.0,-5649.0,7915.0,-1685.0,-6291.0,-5056.0,472.0,1398.0,대한항공
5,비지배주주순이익,20.0,80.0,104.0,74.0,63.0,0.0,0.0,0.0,대한항공
6,자산총계,241804.0,239565.0,246487.0,258425.0,270141.0,264170.0,264384.0,264464.0,대한항공
7,부채총계,216813.0,220822.0,208976.0,226799.0,242333.0,231005.0,229029.0,227778.0,대한항공
8,자본총계,24990.0,18744.0,37511.0,31626.0,27808.0,33165.0,35355.0,36685.0,대한항공
9,지배주주지분,23871.0,17607.0,36294.0,30395.0,26562.0,31722.0,33659.0,34891.0,대한항공
10,비지배주주지분,1119.0,1137.0,1217.0,1231.0,1246.0,1443.0,1696.0,1794.0,대한항공
11,자본금,3698.0,3698.0,4798.0,4798.0,4798.0,8546.0,9221.0,9221.0,대한항공
12,부채비율,867.59,1178.12,557.1,717.13,871.45,696.54,647.8,620.9,대한항공
13,유보율,545.6,376.18,656.48,533.53,453.63,0.0,0.0,0.0,대한항공
14,영업이익률,7.65,9.55,7.77,5.16,2.03,1.6,4.65,5.96,대한항공
15,지배주주순이익률,-4.89,-4.81,6.55,-1.29,-4.96,-6.49,0.55,1.31,대한항공
16,ROA,-2.36,-2.31,3.3,-0.64,-2.36,-1.93,0.13,0.52,대한항공
17,ROE,-25.23,-27.24,29.37,-5.05,-22.09,-17.35,1.44,4.08,대한항공
18,EPS,-6631.0,-6418.0,7690.0,-1580.0,-5898.0,-3660.0,269.0,797.0,대한항공
19,BPS,27121.0,20004.0,34028.0,28497.0,24903.0,18094.0,19199.0,19902.0,대한항공
20,DPS,0.0,0.0,225.0,225.0,0.0,250.0,250.0,225.0,대한항공
21,PER,0.0,0.0,3.68,0.0,0.0,0.0,88.2,29.79,대한항공
22,PBR,0.8,1.07,0.83,0.97,0.96,1.31,1.24,1.19,대한항공
23,발행주식수,86561.0,86561.0,105206.0,105206.0,105206.0,0.0,0.0,0.0,대한항공
24,배당수익률,0.0,0.0,0.8,0.81,0.0,0.0,0.0,0.0,대한항공
