,title,keyword
0,"삼성전자, 수원·화성 공장서 잇따라 확진",삼성전자
1,[속보] 삼성전자 수원사업장 직원 6명 코로나19 확진,삼성전자
2,[속보] 삼성전자 화성 등 7명 확진…LG화학 본사도 추가 확진,삼성전자
3,대기업 잉여현금흐름 1년 새 17조 증가…삼성전자 1위,삼성전자
4,"CES 앞두고 삼성 '퀀텀 미니 LED' 상표 출원… 미니LED TV, 데뷔 임박",삼성전자
5,삼성이 개발 중인 롤러블폰의 모습은?,삼성전자
6,"삼성전자, 사랑의열매와 '나눔과꿈' 비영리단체 지원 40곳 선정",삼성전자
7,"정은승 삼성전자 사장, 대한전자공학대상 수상",삼성전자
8,"文대통령, 네이버·삼성전자 등과 AI 전략 논의...'디지털 뉴딜' 박차",삼성전자
9,"삼성·LG에 치인 월풀 뜻대로 될까…美 ITC, 세탁기 수입제한 연장 투표",삼성전자
10,"[단독]삼성전자, 사내 코로나19 확산 현실로..무선사업부 2명 추가 확진",삼성전자
11,대한전자공학대상에 정은승 삼성전자 사장,삼성전자
12,삼성전자가 내년 출시할 첫 ‘보급형’ 스마트폰은?,삼성전자
13,"文대통령, 네이버·삼성전자 등과 AI 전략 논의...'디지털 뉴딜' 박차",삼성전자
14,"삼성·LG에 치인 월풀 뜻대로 될까…美 ITC, 세탁기 수입제한 연장 투표",삼성전자
15,"[단독] 삼성전자 수원사업장 5명 추가 확진, 사내 2차 감염된 듯",삼성전자
16,발표하는 이경운 삼성전자 전무,삼성전자
17,"삼성·LG, 세계 TV 시장 점유율 독식…2대 중 1대가 `한국산`",삼성전자
18,"""삼성전자, 7만원 가뿐히 넘는다""…목표가 8~9만원 상향",삼성전자
19,'외국인 매집' 삼성전자 또 상승…7만원 고지 눈앞,삼성전자
20,삼성전자 시총 400兆 시대…'7만전자'가 온다,삼성전자
21,"'7만 전자' 눈앞에 둔 삼성전자, 연일 신고가 경신",삼성전자
22,"""코로나 팬데믹에도""…삼성전자·SK하이닉스 고용 늘렸다",삼성전자
23,전세계 TV 3대 중 1대는 삼성… 점유율 ‘최고’,삼성전자
24,"""S펜 품고 8인치 대화면""…삼성도 롤러블폰 경쟁 가세",삼성전자
25,"폴더블이 끌고, 롤러블이 민다…삼성·LG 선봉",삼성전자
26,"떠오르는 미니 LED TV, 업계도 '주목'…삼성·LG 격돌 내년 본격화",삼성전자
27,삼성전자 `7만 전자` 될까…증권가 목표가 잇따라 상향,삼성전자
28,"삼성전자 '상향' 외치는 증권가…""업황 호전에 특별배당까지 겹경사""",삼성전자
29,"애플 아이폰12 vs 삼성 갤노트20, 카메라·내구성 대결 결과는?",삼성전자
30,4분기 아이폰12 질주에...삼성전자 반격 나선다,삼성전자
31,"삼성전자, `나눔과 꿈` 40개 단체 지원",삼성전자
32,"'미스터 파운드리' 정은승 삼성전자 사장, '대한전자공학대상' 수상자로 선정",삼성전자
33,"산업인력공단, '기능인력 적극 고용' 삼성전자에 감사패",삼성전자
34,3분기 대기업 누적 잉여현금흐름 28조원…삼성전자 4조3000억원 1위,삼성전자
35,삼성 지원 '인공 시냅스'·'메타광학물질' 연구…국제학술지 게재,삼성전자
36,"삼성전자 파운드리, 2021년 '4나노' 공정 상용화",삼성전자
37,"삼성전자 사장 정은승, 전자공학회의 '2020 대한전자공학대상' 받아",삼성전자
38,삼성전자 또 신고가 경신(종합),삼성전자
39,"스마트폰 시장, 애플 없는 가을은 삼성의 계절",삼성전자
40,"천안, 삼성전자 등과 종이팩 분리배출 협약",삼성전자
41,"삼성전자, 이틀 연속 신고가 경신…7만원 '눈앞'",삼성전자
42,"삼성, '갤럭시A12·A02S' 발표...보급형으로 유럽 시장 공략",삼성전자
43,"[특징주] 대장주 삼성전자, 신고가 행진…7만원 바라본다",삼성전자
44,"삼성전자·SK하이닉스, 장중 나란히 3%대 급등",삼성전자
45,AI 국가전략 1년…SKT·KT·네이버·카카오·삼성 'AI 어벤저스' 총출동,삼성전자
46,"中 BOE, 삼성 저격…“진정한 QLED, 세계 최초 개발”",삼성전자
47,"文 대통령 ""삼성전자-SKT-KT-LGU+, 인공지능 선두주자""",삼성전자
48,삼성전자 6만7천500원 신고가…시총 첫 400조 돌파(종합),삼성전자
49,삼성·LG 함께하자...SK머티리얼즈 OLED 소재 사업 진출,삼성전자
50,"나흘 만에 또… 삼성전자 수원사업장서 직원 1명, 코로나 확진",삼성전자
51,이건희 회장 별세 한달…삼성 계열사 주가 두자릿수 상승률,삼성전자
52,삼성 내년 플래그십폰 윤곽…‘갤노트 단종·UDC·충전기 제외’,삼성전자
53,"삼성-LG전자, 중국 제치고 3분기 글로벌 TV 시장 선도",삼성전자
54,"삼성 인사, 해 넘기나...이재용 재판 사이에 단행?",삼성전자
55,"삼성전자, 팬데믹·재해 해결을 위한 협력 및 연구소 설립 발표",삼성전자
56,"새 역사 쓰는 삼성전자, 시총 400조 돌파했다",삼성전자
57,"삼성전자 시총 400조 돌파···""ROE 개선, 재평가 임박"" 분석도",삼성전자
58,'코스피 2600' 외국인 삼성전자 보통주 사고 우선주 팔았다,삼성전자
59,펩타이드로 인공 시냅스 구현···삼성미래기술육성사업 연구진 '결실' 맺다,삼성전자
60,"'인공 시냅스·메타 광학물질' 삼성미래기술육성사업 지원 과제, 국제 학술지...",삼성전자
