,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,2006535.0,2018667.0,2395754.0,2437714.0,2304009.0,2379694.0,2601033.0,2847828.0,하나투어
1,영업이익,264134.0,292407.0,536450.0,588867.0,277685.0,369313.0,464907.0,577481.0,하나투어
2,영업이익(발표기준),264134.0,292407.0,536450.0,588867.0,277685.0,0.0,0.0,0.0,하나투어
3,당기순이익,190601.0,227261.0,421867.0,443449.0,217389.0,277450.0,353404.0,440131.0,하나투어
4,지배주주순이익,186946.0,224157.0,413446.0,438909.0,215051.0,275069.0,350266.0,436239.0,하나투어
5,비지배주주순이익,3655.0,3104.0,8422.0,4540.0,2338.0,0.0,0.0,0.0,하나투어
6,자산총계,2421795.0,2621743.0,3017521.0,3393572.0,3525645.0,3760770.0,4060181.0,4451474.0,하나투어
7,부채총계,631197.0,692113.0,872607.0,916041.0,896841.0,936272.0,994215.0,1053770.0,하나투어
8,자본총계,1790598.0,1929630.0,2144914.0,2477532.0,2628804.0,2824703.0,3066079.0,3398072.0,하나투어
9,지배주주지분,1728768.0,1864243.0,2072134.0,2400690.0,2549155.0,2741459.0,2981107.0,3308122.0,하나투어
10,비지배주주지분,61830.0,65387.0,72780.0,76842.0,79649.0,83245.0,84972.0,89950.0,하나투어
11,자본금,8975.0,8975.0,8975.0,8975.0,8975.0,8979.0,8979.0,8979.0,하나투어
12,부채비율,35.25,35.87,40.68,36.97,34.12,33.15,32.43,31.01,하나투어
13,유보율,20659.47,21757.56,23681.42,26648.22,28302.4,0.0,0.0,0.0,하나투어
14,영업이익률,13.16,14.49,22.39,24.16,12.05,15.52,17.87,20.28,하나투어
15,지배주주순이익률,9.32,11.1,17.26,18.0,9.33,11.56,13.47,15.32,하나투어
16,ROA,8.07,9.01,14.96,13.83,6.28,7.62,9.04,10.34,하나투어
17,ROE,11.16,12.48,21.01,19.63,8.69,10.4,12.24,13.87,하나투어
18,EPS,2198.0,2735.0,5421.0,6024.0,3166.0,4050.0,5157.0,6422.0,하나투어
19,BPS,21903.0,24340.0,28971.0,35342.0,37528.0,40359.0,43887.0,48701.0,하나투어
20,DPS,420.0,570.0,850.0,1416.0,1416.0,1599.0,1554.0,1537.0,하나투어
21,PER,11.47,13.18,9.4,6.42,17.63,18.1,14.21,11.41,하나투어
22,PBR,1.15,1.48,1.76,1.1,1.49,1.82,1.67,1.51,하나투어
23,발행주식수,7364967.0,7033967.0,6454925.0,5969783.0,5969783.0,0.0,0.0,0.0,하나투어
24,배당수익률,1.67,1.58,1.67,3.66,2.54,0.0,0.0,0.0,하나투어
