,title,keyword
0,"하나투어, 내년 해외여행 상품 판매... 예약금 2021원",하나투어
1,"하나·모두투어, 창사 이래 '최악의 실적'",하나투어
2,"하나투어·모두투어, 해외여행상품 판매 재개",하나투어
3,"“내년에는 떠나볼까”, 하나투어 2021년 해외여행 상품 출시",하나투어
4,하나투어 전직원 무급휴직…내년 3월까지 월급 끊겨,하나투어
5,코로나19 장기화에…여행업계 1위 하나투어 무급휴직 연장,하나투어
6,[집중진단] 내달부터 하나투어 급여 0원…커지는 경영난까지,하나투어
7,"하나투어, '안심여행 체크리스트' 업계 최초 도입",하나투어
8,"[넘버스]1위 여행사 하나투어, 자본잠식 시작됐다",하나투어
9,"하나투어, 웰니스 관광상품 구매 시 국내 항공권 무료",하나투어
10,"""하나투어, 백신 기대감에 상승세 타는 주가""-신한금투",하나투어
11,하나투어 ‘스카이라인 여행’ 판매 당일 전상품 ‘완판’,하나투어
12,"하나투어, 올해 소멸예정 마일리지 1년 연장키로",하나투어
13,"정총리, 대한항공·하나투어와 목요대화 ""세제감면 등 검토""",하나투어
14,"하나투어, 조직개편·인사 단행… ""포스트 코로나 대비""",하나투어
15,"하나투어, 힐링 여행 기획전 ‘쉼표 여행’",하나투어
16,"[베타 투자리포트] 하나투어, 백신 기대감 반영되기 시작",하나투어
17,"""칸쿤 신혼여행 항공권 환불 못 받았다""...하나투어 상대 집단분쟁",하나투어
18,여행 전 자가진단 시대···하나투어 '안심여행 체크리스트' 도입,하나투어
19,"하나투어, 업계 최초 안심여행 체크리스트(SAFETY&JOY) 수립",하나투어
20,"관광공사, 하나투어와 손 잡고 스타트업 돕는다",하나투어
21,방역 마친 하나투어 본사,하나투어
22,무르익는 여행교류 분위기…하나투어 '안심여행' 기준 만들었다,하나투어
23,"하나투어, 무급 휴직 4개월 연장",하나투어
24,하나투어 무급휴직 4개월 연장,하나투어
25,"관광公, 하나투어와 관광스타트업간 협업의 장 마련",하나투어
26,"하나투어, 마일리지·상품권 유효기간 1년 연장",하나투어
27,하나투어 국내 상공 비행 상품 다 팔렸다,하나투어
28,"국내로 눈 돌린 하나투어 ""쉼표 여행 하세요""",하나투어
29,항공권 환불 못 받은 고객들 하나투어 상대로 집단분쟁절차 신청,하나투어
30,"하나투어, 국내여행객 겨냥 '쉼표 여행 기획전' 진행",하나투어
31,포스트 코로나 기대…모두투어·하나투어 급등,하나투어
32,"""해외 여행가는 척""…하나투어, 국내 상공 비행 상품 출시",하나투어
33,"하나투어, ‘가을 먹킷-리스트’ 기획전…제철 식도락여행",하나투어
34,"하나투어와 관광 스타트업, 노하우 공유해 '사업' 기회 늘린다",하나투어
35,"하나투어, '안심여행 체크리스트(SAFETY&JOY)' 업계 최초로 선 봬",하나투어
36,"하나투어, 국내 상공 비행하는 '스카이라인 투어' 출시",하나투어
37,'문재앙 때문에 재택'…하나투어 여행사 안내문 논란,하나투어
38,"하나투어, 분기 수백억 적자로 현금고갈 우려-현대차",하나투어
39,[특징주]참좋은여행·모두투어 ‘52주 신고가’···여행株 강세,하나투어
40,"하나투어, 조직개편 및 인사 단행…""글로벌 여행기업 도약""",하나투어
41,"목표가 줄줄이 넘긴 여행株, 애널리스트들 ""더 높여야하나…""",하나투어
42,"하나투어, 마일리지·상품권 유효기간 연장",하나투어
43,1·2위 여행사 하나·모두투어 3분기에도 대규모 적자,하나투어
44,"하나투어, MD본부 신설 등 조직개편 단행…""플랫폼 비즈니스 강화""",하나투어
45,"'날고, 오르고, 걷고'…고창군, 하나투어와 '고창레포츠' 상품 출시",하나투어
46,여행사 매출 2분기도 '수렁'…하나투어 무급휴직 돌입,하나투어
47,"‘최악 위기’ 하나투어, 면세업 철수 수순 밟을까",하나투어
48,"하나투어, 감성·힐링·프리미엄 테마 '국내 쉼표 여행' 선봬",하나투어
49,"'코로나 직격탄' 하나투어, 실적부진·재무악화 이중고",하나투어
50,"하나투어, 조직개편·인사 단행",하나투어
51,"하나투어, 안전 위한 '안심여행 체크리스트' 론칭",하나투어
52,"하나투어, '마일리지&상품권' 유효기간 1년 연장",하나투어
53,"하나투어, 업계 최초 ‘안심여행 체크리스트’ 선봬",하나투어
54,"하나투어, 국내 상공 비행하는 '해외 여행가는 척' 상품 선 봬",하나투어
55,대화 나누는 우기홍 대한항공 사장과 김진국 하나투어 사장,하나투어
56,하나투어 자본잠식·정부지원종료...2000명 무급휴직 4개월 연장?,하나투어
57,"법원, '무더기 고객정보 유출' 하나투어에 벌금 1000만원",하나투어
58,"하나투어, 플랫폼 비즈니스 강화한 조직개편… 공급본부 신설",하나투어
59,"[인사]하나투어 조직개편 단행 ""글로벌 여행기업 성장 준비""",하나투어
60,"하나투어, 조직개편 및 인사 단행",하나투어
61,"하나투어, 여행객 트렌드 부응 ‘뉴노멀’ 조직개편 “OTA 나와!”",하나투어
62,"하나투어, 소비자중심경영 우수기업 5회 연속 인증",하나투어
63,"하나투어, 마일리지와 상품권 유효기간 연장",하나투어
64,"""코로나 위기 함께 극복하자""…하나투어·관광벤처 '맞손'",하나투어
65,"하나투어, '가을 먹킷-리스트 도장깨기' 기획전 오픈",하나투어
66,"하나투어, 대규모 적자로 구조조정 나서야-현대차",하나투어
