,name,f_2015_12,f_2016_12,f_2017_12,f_2018_12,f_2019_12,f_2020_12,f_2021_12,f_2022_12,keyword
0,매출액,4594.0,5955.0,8043.0,8283.0,7632.0,1405.0,2817.0,5611.0,하나투어
1,영업이익,447.0,209.0,411.0,249.0,59.0,-1471.0,-292.0,385.0,하나투어
2,영업이익(발표기준),447.0,209.0,411.0,249.0,59.0,0.0,0.0,0.0,하나투어
3,당기순이익,342.0,75.0,129.0,106.0,-120.0,-1642.0,-363.0,239.0,하나투어
4,지배주주순이익,317.0,80.0,132.0,87.0,-80.0,-1359.0,-306.0,215.0,하나투어
5,비지배주주순이익,24.0,-5.0,-3.0,18.0,-39.0,0.0,0.0,0.0,하나투어
6,자산총계,5044.0,5202.0,6282.0,7161.0,10076.0,7671.0,7831.0,8584.0,하나투어
7,부채총계,2871.0,3082.0,3824.0,4762.0,7897.0,5921.0,6480.0,7152.0,하나투어
8,자본총계,2173.0,2121.0,2457.0,2399.0,2179.0,1750.0,1351.0,1432.0,하나투어
9,지배주주지분,1969.0,1895.0,2089.0,1999.0,1808.0,1700.0,1316.0,1463.0,하나투어
10,비지배주주지분,204.0,226.0,368.0,400.0,371.0,50.0,35.0,-31.0,하나투어
11,자본금,58.0,58.0,58.0,58.0,58.0,70.0,70.0,70.0,하나투어
12,부채비율,132.11,145.31,155.63,198.53,362.44,338.29,479.48,499.38,하나투어
13,유보율,3904.1,3747.41,4081.78,3926.26,3597.43,0.0,0.0,0.0,하나투어
14,영업이익률,9.74,3.51,5.11,3.0,0.78,-104.69,-10.38,6.87,하나투어
15,지배주주순이익률,6.91,1.35,1.64,1.06,-1.05,-96.76,-10.87,3.84,하나투어
16,ROA,7.25,1.47,2.25,1.58,-1.39,-18.51,-4.68,2.91,하나투어
17,ROE,16.83,4.16,6.62,4.28,-4.22,-77.51,-20.3,15.48,하나투어
18,EPS,2732.0,692.0,1135.0,753.0,-691.0,-10022.0,-2196.0,1544.0,하나투어
19,BPS,20021.0,19237.0,20909.0,20131.0,18487.0,14634.0,11880.0,12934.0,하나투어
20,DPS,1500.0,1500.0,1500.0,1300.0,1000.0,800.0,660.0,817.0,하나투어
21,PER,42.09,95.55,90.75,91.34,0.0,0.0,0.0,34.85,하나투어
22,PBR,5.74,3.44,4.93,3.42,2.76,3.68,4.53,4.16,하나투어
23,발행주식수,11616.0,11616.0,11616.0,11616.0,11616.0,0.0,0.0,0.0,하나투어
24,배당수익률,1.3,2.27,1.46,1.89,1.96,0.0,0.0,0.0,하나투어
